file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-08-08-TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592.parquet,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-08-08,182.07,133.01,14066.6,2085.0,927.5,115,139,8.23,1.763,105.8,0.0659,10.0,109236,,,1
2020-08-12-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-08-12,94.92,59.06,6652.7,992.1,453.0,37,28,7.43,1.877,112.6,0.0681,10.0,56942,,,1
2020-08-15-TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05.parquet,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-08-15,81.06,38.82,2713.5,108.9,84.5,24,31,7.89,1.165,69.9,0.0312,10.0,48623,,,1
2020-08-11-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-08-11,409.16,116.19,21245.7,14147.3,13521.6,63,73,11.5,3.048,182.9,0.6364,10.0,245479,,implausible_peak_speed;implausible_intensity;implausible_sprint_fraction;implausible_distance,0
2020-08-16-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-08-16,167.72,34.81,2011.0,0.0,0.0,9,4,4.17,0.963,57.8,0.0,10.0,100615,,,1
2020-08-17-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-08-17,77.68,33.39,2265.0,0.0,0.0,23,21,4.3,1.131,67.8,0.0,10.0,46604,,,1
2020-08-19-TeamA-b4862b21-fb97-d435-8856-1712e8e5216a.parquet,TeamA-b4862b21-fb97-d435-8856-1712e8e5216a,2020-08-19,106.61,72.47,5996.0,271.5,79.0,25,32,6.83,1.379,82.7,0.0132,10.0,63956,,,1
2020-08-20-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-08-20,86.61,58.46,4034.1,296.7,139.4,24,36,7.66,1.15,69.0,0.0345,10.0,51956,,,1
2020-08-21-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-08-21,47.49,33.43,2194.1,254.2,83.3,16,21,7.21,1.094,65.6,0.038,10.0,28488,,,1
2020-08-25-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-08-25,57.36,46.92,3616.9,102.1,39.1,22,18,7.12,1.285,77.1,0.0108,10.0,34408,,,1
